team1_adjde,team1_adjoe,team1_fg2pct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_rpi_rating,team1_seed,team1_tempo,team2_adjde,team2_arate,team2_fg3pct,team2_oe,team2_oppftpct,team2_seed,APRdiff
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,96.7,59.29018789,42.01030928,123.2,67.90890269,2,39
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,94.2,55.15643105,36.59305994,114,69.61651917,3,43
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,101.9,63.76344086,38.52242744,121.9,72.60940032,4,37
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,98.5,54.23728814,35.30106257,119.2,70.44025157,5,21
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,100.6,49.34601665,37.53213368,115.1,73.66609294,6,23
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,105.2,49.94923858,40.09077156,117.3,72.54901961,7,70
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,101.4,58.60155383,38.51444292,115,69.81818182,8,30
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,99.7,49.53488372,32.43647235,108.5,68.07639836,9,27
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,102,47.9253112,35.57312253,115.8,74.22839506,10,11
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,101.1,53.90995261,39.80738363,112.3,71.65021157,11,49
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,104.1,53.200883,38.31417625,116.4,70.03311258,11,31
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,97.5,53.33333333,37.4422188,113.1,72.2,12,46
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,102.9,58.47280335,35.58413719,109.3,67.7672956,13,51
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,94,49.57472661,37.41134752,105,69.39040208,14,39
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,101.5,49.86111111,34.33179724,105,76.02040816,15,57
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,105.5,46.40820981,34.84646195,103.3,69.36936937,16,34
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,100.5,51.00671141,35.10028653,103.6,76.08286252,16,47
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,101.4,56.4453125,40.25670945,120.9,71.97696737,1,-6
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,97.3,57.34126984,37.79310345,122.6,73.875803,2,-1
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,94.9,67.65641569,41.28166915,120,72.44897959,3,7
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,99.9,53.34101382,36.61971831,118.2,72.67605634,4,64
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,97.3,52.1631644,36.63911846,113.8,70.2811245,5,34
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,106.4,62.60416667,40.0295421,120.6,72.89879931,6,51
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,98,54.39377086,34.99197432,111.7,73.38235294,7,39
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,102.6,55.47045952,36.40625,116.3,73.21428571,8,33
99.9,122.8,59.71351835,49.28084784,32.78236915,75.33460803,0.667,1,70.2,103.1,55.17609392,37.22304284,116.4,69.74110032,9,21
